1,Vinte,6 Dahle Trail,Decatur,Georgia,30089
2,Talane,0179 Lien Pass,Garden Grove,California,92645
3,Jetwire,2076 Eastwood Circle,El Paso,Texas,88563
4,Livetube,7 Carberry Court,Chicago,Illinois,60614
5,Voonyx,87 Iowa Hill,Athens,Georgia,30605
6,Kimia,311 Erie Crossing,Huntington,West Virginia,25775
7,Muxo,1400 Lakewood Plaza,Indianapolis,Indiana,46266
8,Skajo,579 Helena Park,Roanoke,Virginia,24040
9,Twinder,18 Glendale Terrace,Fort Worth,Texas,76105
10,Ooba,061 Namekagon Junction,Seminole,Florida,34642
11,Realbuzz,8715 Warbler Lane,Valley Forge,Pennsylvania,19495
12,JumpXS,1 Burning Wood Point,Louisville,Kentucky,40287
13,Realpoint,141 Golf View Court,Pittsburgh,Pennsylvania,15205
14,Cogibox,23 Schlimgen Lane,Salt Lake City,Utah,84105
15,Blogspan,97 Mockingbird Parkway,Oklahoma City,Oklahoma,73124
16,Skimia,919 Grover Alley,Shawnee Mission,Kansas,66276
17,Skiba,4 Prentice Hill,Detroit,Michigan,48224
18,Linklinks,81 Crowley Terrace,West Palm Beach,Florida,33416
19,Devpoint,742 Blaine Park,Milwaukee,Wisconsin,53210
20,Voolith,91585 Texas Circle,Waterbury,Connecticut,6721
21,Voonyx,84975 Waywood Street,Lansing,Michigan,48901
22,Feedfish,6 Welch Terrace,Sacramento,California,94297
23,Cogibox,15 Erie Avenue,Philadelphia,Pennsylvania,19141
24,Cogilith,218 Corben Place,Richmond,Virginia,23208
25,Plajo,69713 Northfield Park,El Paso,Texas,79911
26,Babbleblab,1 Old Shore Plaza,Columbus,Ohio,43210
27,Livetube,10675 Brown Circle,San Francisco,California,94116
28,Kimia,4 Clarendon Avenue,Atlanta,Georgia,30336
29,Tekfly,8996 Anhalt Plaza,Racine,Wisconsin,53405
30,Dynabox,7663 Artisan Court,Syracuse,New York,13210
31,Miboo,96 Mcbride Crossing,Shawnee Mission,Kansas,66276
32,Centidel,66 Aberg Avenue,Amarillo,Texas,79105
33,Mydo,6643 Miller Point,Metairie,Louisiana,70005
34,Skipfire,426 Del Sol Trail,Omaha,Nebraska,68105
35,Rhynyx,612 Green Ridge Parkway,Sioux City,Iowa,51110
36,Meetz,17608 Manufacturers Crossing,Shawnee Mission,Kansas,66215
37,Jabbercube,316 Steensland Avenue,San Jose,California,95108
38,Feedbug,2 Stang Place,Fort Lauderdale,Florida,33325
39,Zoozzy,070 2nd Alley,Boulder,Colorado,80328
40,Realbuzz,4 2nd Place,Flint,Michigan,48555
41,Kwinu,15214 Coolidge Avenue,Lima,Ohio,45807
42,Jabberstorm,46 Drewry Center,Corpus Christi,Texas,78465
43,Jamia,570 Brentwood Avenue,Naples,Florida,33963
